audio_subfamily,n_features,imp_mean,imp_std
audio:marsyas,72,0.013133235621369662,0.00014467283836120586
audio:MFCC_simple,26,0.002722860347906512,9.604932526258625e-05
audio:Area_MoM,20,0.0026517782458065353,0.0001565806382424151
audio:lowlevel,16,0.0015299750705993394,5.3500901045993514e-05
audio:LPC,18,0.0012388878977816302,8.417084625022414e-05
