feature,coef,abs_coef
genre_folk,0.012020919689451098,0.012020919689451098
genre_world,-0.011158959317664762,0.011158959317664762
Spectral_Flux_Overall_Average_1,-0.0108339831261198,0.0108339831261198
genre_synthpop,-0.010623797525817266,0.010623797525817266
genre_american,0.010405464560473157,0.010405464560473157
Std_Acc5_Mean_Mem20_PeakRatio_Minimum_Chroma_A_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,-0.010224414457283457,0.010224414457283457
Std_Acc5_Mean_Mem20_PeakRatio_Chroma_B_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,0.009959738321234118,0.009959738321234118
Spectral_Flux_Overall_Standard_Deviation_1,0.009774944757660609,0.009774944757660609
Area_Method_of_Moments_Overall_Average_4,0.009750336759346818,0.009750336759346818
genre_house,-0.009221288084057595,0.009221288084057595
Std_Acc5_Mean_Mem20_PeakRatio_Chroma_E_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,-0.009156838041651016,0.009156838041651016
Mean_Acc5_Mean_Mem20_ZeroCrossings_HopSize512_WinSize512_Sum_AudioCh0,0.009070147387587674,0.009070147387587674
genre_soul,0.009001881643241082,0.009001881643241082
Std_Acc5_Std_Mem20_PeakRatio_Chroma_C_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,-0.008878982230456203,0.008878982230456203
Area_Method_of_Moments_Overall_Average_2,0.008448866408838823,0.008448866408838823
Area_Method_of_Moments_Overall_Standard_Deviation_3,-0.008033570120519355,0.008033570120519355
genre_punk,0.007852163575398013,0.007852163575398013
genre_indie,0.007517990774995317,0.007517990774995317
Std_Acc5_Std_Mem20_PeakRatio_Chroma_D#_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,0.007497924963669163,0.007497924963669163
Mean_Acc5_Mean_Mem20_PeakRatio_Average_Chroma_A_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,-0.007283185184144919,0.007283185184144919
Mean_Acc5_Mean_Mem20_PeakRatio_Minimum_Chroma_A_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,0.007247413815467098,0.007247413815467098
Std_Acc5_Mean_Mem20_PeakRatio_Chroma_G_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,0.007175893167839606,0.007175893167839606
Std_Acc5_Std_Mem20_PeakRatio_Chroma_G#_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,-0.006913462929832574,0.006913462929832574
Area_Method_of_Moments_Overall_Standard_Deviation_7,0.0068865870561026,0.0068865870561026
Mean_Acc5_Mean_Mem20_PeakRatio_Chroma_C#_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,-0.006846428704758337,0.006846428704758337
Mean_Acc5_Std_Mem20_PeakRatio_Chroma_D#_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,0.006711117997302216,0.006711117997302216
Spectral_Rolloff_Point_Overall_Standard_Deviation_1,0.006664720472024377,0.006664720472024377
Area_Method_of_Moments_Overall_Average_10,0.006636406848960845,0.006636406848960845
LPC_Overall_Average_4,0.006473188819272842,0.006473188819272842
Spectral_Rolloff_Point_Overall_Average_1,0.006373432495576495,0.006373432495576495
genre_germany,0.006262538067499743,0.006262538067499743
Area_Method_of_Moments_Overall_Standard_Deviation_1,0.006232553460923315,0.006232553460923315
genre_hardcore,0.006194640345289167,0.006194640345289167
genre_funk,0.006085727391986422,0.006085727391986422
