feature,importance,category
Mean_Acc5_Mean_Mem20_Flux_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,0.1784922528870667,audio:marsyas
MFCC_Overall_Average_8,0.17737982322541745,audio:MFCC_simple
Std_Acc5_Std_Mem20_PeakRatio_Chroma_D_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,0.17487743868126418,audio:marsyas
MFCC_Overall_Standard_Deviation_11,0.17314717360256818,audio:MFCC_simple
Std_Acc5_Mean_Mem20_Centroid_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,0.17004600911707157,audio:marsyas
LPC_Overall_Standard_Deviation_2,0.16676503660416836,audio:LPC
Std_Acc5_Mean_Mem20_PeakRatio_Chroma_G_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,0.16289358363862663,audio:marsyas
Std_Acc5_Mean_Mem20_Rolloff_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,0.16078478747185534,audio:marsyas
Spectral_Centroid_Overall_Average_1,0.15875927820611532,audio:lowlevel
Mean_Acc5_Mean_Mem20_PeakRatio_Minimum_Chroma_A_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,0.15633446163092138,audio:marsyas
Std_Acc5_Mean_Mem20_PeakRatio_Chroma_A_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,0.15545485155348157,audio:marsyas
LPC_Overall_Standard_Deviation_7,0.15425885546142912,audio:LPC
Std_Acc5_Mean_Mem20_PeakRatio_Chroma_C_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,0.15198753578489096,audio:marsyas
MFCC_Overall_Standard_Deviation_6,0.14809742252864283,audio:MFCC_simple
LPC_Overall_Average_1,0.147690087801577,audio:LPC
MFCC_Overall_Average_5,0.14617399600066328,audio:MFCC_simple
MFCC_Overall_Average_7,0.14598823222848356,audio:MFCC_simple
Mean_Acc5_Mean_Mem20_Centroid_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,0.1449623490571673,audio:marsyas
Std_Acc5_Mean_Mem20_ZeroCrossings_HopSize512_WinSize512_Sum_AudioCh0,0.14096759201092574,audio:marsyas
Std_Acc5_Std_Mem20_PeakRatio_Chroma_D#_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,0.1408209743628233,audio:marsyas
Spectral_Rolloff_Point_Overall_Average_1,0.13421709987189095,audio:lowlevel
MFCC_Overall_Average_1,0.13306759517024128,audio:MFCC_simple
Std_Acc5_Std_Mem20_PeakRatio_Average_Chroma_A_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,0.13282031868208807,audio:marsyas
Spectral_Centroid_Overall_Standard_Deviation_1,0.12852111937653557,audio:lowlevel
Mean_Acc5_Std_Mem20_Rolloff_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,0.12624104084580173,audio:marsyas
Std_Acc5_Std_Mem20_PeakRatio_Chroma_G_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,0.12363372740353659,audio:marsyas
Std_Acc5_Std_Mem20_PeakRatio_Chroma_B_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,0.12279139562070318,audio:marsyas
Spectral_Rolloff_Point_Overall_Standard_Deviation_1,0.12240560233413803,audio:lowlevel
Mean_Acc5_Std_Mem20_ZeroCrossings_HopSize512_WinSize512_Sum_AudioCh0,0.11995015440950078,audio:marsyas
LPC_Overall_Average_6,0.11943423979652915,audio:LPC
MFCC_Overall_Average_9,0.11914476477235614,audio:MFCC_simple
MFCC_Overall_Standard_Deviation_10,0.11450769105189805,audio:MFCC_simple
Mean_Acc5_Std_Mem20_PeakRatio_Chroma_D#_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,0.11080444715553268,audio:marsyas
LPC_Overall_Standard_Deviation_3,0.10957056304440048,audio:LPC
MFCC_Overall_Standard_Deviation_9,0.10867698402748927,audio:MFCC_simple
Std_Acc5_Std_Mem20_PeakRatio_Chroma_C#_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,0.1078579850356804,audio:marsyas
Mean_Acc5_Mean_Mem20_ZeroCrossings_HopSize512_WinSize512_Sum_AudioCh0,0.10536795566060375,audio:marsyas
Std_Acc5_Mean_Mem20_PeakRatio_Chroma_D#_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,0.10434221564105074,audio:marsyas
Root_Mean_Square_Overall_Average_1,0.10091340228894628,audio:lowlevel
Mean_Acc5_Std_Mem20_PeakRatio_Minimum_Chroma_A_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,0.10036689524531758,audio:marsyas
Mean_Acc5_Std_Mem20_Centroid_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,0.09591747723264624,audio:marsyas
Std_Acc5_Mean_Mem20_PeakRatio_Average_Chroma_A_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,0.09514120634124335,audio:marsyas
Std_Acc5_Std_Mem20_PeakRatio_Minimum_Chroma_A_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,0.09366848635815857,audio:marsyas
Area_Method_of_Moments_Overall_Average_5,0.09171304011502925,audio:Area_MoM
Mean_Acc5_Std_Mem20_PeakRatio_Chroma_F_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,0.09114928929794605,audio:marsyas
MFCC_Overall_Standard_Deviation_13,0.09103985579535759,audio:MFCC_simple
Mean_Acc5_Std_Mem20_PeakRatio_Chroma_F#_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,0.09035492960452235,audio:marsyas
Root_Mean_Square_Overall_Standard_Deviation_1,0.08863202770165603,audio:lowlevel
Mean_Acc5_Mean_Mem20_PeakRatio_Chroma_F_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,0.08815808310410764,audio:marsyas
MFCC_Overall_Standard_Deviation_4,0.08569777741245288,audio:MFCC_simple
Mean_Acc5_Mean_Mem20_PeakRatio_Chroma_G#_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,0.08541178486662879,audio:marsyas
Mean_Acc5_Std_Mem20_PeakRatio_Chroma_G#_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,0.08380232343129443,audio:marsyas
Area_Method_of_Moments_Overall_Standard_Deviation_6,0.08256616726022743,audio:Area_MoM
MFCC_Overall_Standard_Deviation_8,0.08236683917753439,audio:MFCC_simple
Mean_Acc5_Mean_Mem20_PeakRatio_Chroma_D_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,0.07425043467600105,audio:marsyas
LPC_Overall_Average_9,0.07255403239411058,audio:LPC
