category,sum,count
numeric,40.727558285673865,5
genre_text,32.67866968555162,1
audio:marsyas,11.566283407769532,72
audio:MFCC_simple,4.799221214837365,26
audio:LPC,4.340132146462263,18
audio:Area_MoM,3.0410617007032448,20
audio:lowlevel,2.847073559002196,16
