budget,status,n_selected,total_y_hat,total_cost,selected_ids
120.0,Optimal,5,3.105839330161744,120.0,"NEW_SONG_02,NEW_SONG_08,NEW_SONG_12,NEW_SONG_18,NEW_SONG_19"
150.0,Optimal,6,3.7260339749107714,150.0,"NEW_SONG_02,NEW_SONG_08,NEW_SONG_12,NEW_SONG_13,NEW_SONG_18,NEW_SONG_19"
180.0,Optimal,6,3.7313402345674334,177.0,"NEW_SONG_03,NEW_SONG_08,NEW_SONG_12,NEW_SONG_13,NEW_SONG_19,NEW_SONG_20"
210.0,Optimal,7,4.35153487931646,208.0,"NEW_SONG_08,NEW_SONG_12,NEW_SONG_13,NEW_SONG_16,NEW_SONG_18,NEW_SONG_19,NEW_SONG_20"
240.0,Optimal,8,4.971656165192146,240.0,"NEW_SONG_02,NEW_SONG_08,NEW_SONG_12,NEW_SONG_13,NEW_SONG_14,NEW_SONG_16,NEW_SONG_18,NEW_SONG_19"
