category,sum,count
numeric,0.41352979743374063,5
genre,0.07181814930452372,30
audio:marsyas,0.01514054158009317,72
audio:Area_MoM,0.010964135314465518,20
audio:MFCC_simple,0.003833358223102401,26
audio:LPC,0.0034676027267441342,18
audio:lowlevel,0.002894823846609529,16
