pc,explained_ratio,cum_ratio
1,0.35072870025470915,0.35072870025470915
2,0.11898189024564901,0.4697105905003581
3,0.10822298866292125,0.5779335791632794
4,0.06908553805711395,0.6470191172203933
5,0.05782831945355162,0.7048474366739449
6,0.04001983149538342,0.7448672681693284
7,0.026003670668013575,0.7708709388373419
8,0.02278943643032832,0.7936603752676702
9,0.019260588427664833,0.8129209636953351
10,0.01588827790939047,0.8288092416047256
11,0.01393452325385166,0.8427437648585773
12,0.01208639337572474,0.854830158234302
13,0.011103139058973104,0.8659332972932751
14,0.009970619461014898,0.8759039167542899
15,0.008389663417985766,0.8842935801722757
16,0.007366101359386786,0.8916596815316624
17,0.006827524526100825,0.8984872060577632
18,0.006544128077282031,0.9050313341350452
19,0.006238338922841428,0.9112696730578866
20,0.004917055570178306,0.9161867286280649
21,0.004714219980622634,0.9209009486086875
22,0.004413862079689891,0.9253148106883774
23,0.00420259869797445,0.9295174093863519
24,0.004075778107750888,0.9335931874941027
25,0.0036848490810618426,0.9372780365751645
26,0.003468891207579544,0.940746927782744
27,0.0031820123529801834,0.9439289401357243
28,0.003100590791544932,0.9470295309272692
29,0.002854135472658146,0.9498836663999273
30,0.0026094419221380206,0.9524931083220652
31,0.0025819225264151714,0.9550750308484804
32,0.0024319152882708727,0.9575069461367514
33,0.0024092229585649778,0.9599161690953163
34,0.0022708813975991712,0.9621870504929154
35,0.0020609151501474647,0.9642479656430629
36,0.0019396124176943308,0.9661875780607573
37,0.0019165941141110763,0.9681041721748683
38,0.0017579339743607643,0.9698621061492291
39,0.0016330472469732803,0.9714951533962024
40,0.001438074935968014,0.9729332283321704
41,0.0014087080348420646,0.9743419363670125
42,0.0013465020201999468,0.9756884383872124
43,0.0012426423942275215,0.97693108078144
44,0.0012316808242008154,0.9781627616056408
45,0.0011282572591694668,0.9792910188648102
46,0.0010770791279468936,0.980368097992757
47,0.001048760411022257,0.9814168584037793
48,0.0009789922105128345,0.9823958506142921
49,0.0009458807556908363,0.9833417313699829
50,0.0008933254924955216,0.9842350568624785
51,0.0008554320808605277,0.985090488943339
52,0.0008154222308799107,0.9859059111742189
53,0.0007651828894560482,0.9866710940636749
54,0.0007363026217642113,0.9874073966854391
55,0.0007307239663091034,0.9881381206517482
56,0.000677901397491123,0.9888160220492394
57,0.0006604556477319575,0.9894764776969713
58,0.0006259062893876017,0.990102383986359
59,0.0006058901214693826,0.9907082741078284
60,0.0005654318626875994,0.991273705970516
61,0.000554776910027884,0.9918284828805439
62,0.0005424604761979718,0.9923709433567419
63,0.0005235367044744304,0.9928944800612164
64,0.0005171410818942483,0.9934116211431107
65,0.0004748142465925598,0.9938864353897032
66,0.0004368960097347587,0.994323331399438
67,0.00037588976127620865,0.9946992211607142
68,0.0003609798537616612,0.9950602010144759
69,0.0003272329710687977,0.9953874339855447
70,0.00031850977213845406,0.9957059437576832
71,0.00030950282460344506,0.9960154465822866
72,0.00027500187509152407,0.9962904484573781
73,0.0002637037498970899,0.9965541522072752
74,0.00025308662350769683,0.9968072388307828
75,0.00023635087766063294,0.9970435897084434
76,0.00021577657230537964,0.9972593662807488
77,0.00019316444097226487,0.9974525307217211
78,0.0001675102603672624,0.9976200409820883
79,0.0001587920810409836,0.9977788330631293
80,0.00015448557863347324,0.9979333186417628
81,0.00014525725901581285,0.9980785759007786
82,0.00014014574201294023,0.9982187216427916
83,0.00013627505909304455,0.9983549967018847
84,0.00012694182213923247,0.9984819385240239
85,0.00012009201396750909,0.9986020305379913
86,0.00011599782729245387,0.9987180283652838
87,0.00010377176090482644,0.9988218001261886
88,0.00010252418098008084,0.9989243243071687
89,9.447365880327138e-05,0.9990187979659719
90,9.034040514628931e-05,0.9991091383711183
91,7.073404975834742e-05,0.9991798724208766
92,6.722648082422181e-05,0.9992470989017008
93,6.251099438021949e-05,0.9993096098960811
94,5.927904089066436e-05,0.9993688889369717
95,5.396502367444271e-05,0.9994228539606462
96,5.277342709810024e-05,0.9994756273877443
97,4.717550078822497e-05,0.9995228028885326
98,4.0434601979553424e-05,0.9995632374905121
99,3.6172491526784123e-05,0.9995994099820389
100,3.484055848425964e-05,0.9996342505405231
101,2.6669326717086953e-05,0.9996609198672403
102,2.558183693550544e-05,0.9996865017041757
103,2.499130900908011e-05,0.9997114930131848
104,2.3589855369671774e-05,0.9997350828685545
105,2.1957080121466777e-05,0.9997570399486759
106,2.0802861715272334e-05,0.9997778428103912
107,1.9858713526334743e-05,0.9997977015239176
108,1.9657813274559196e-05,0.9998173593371921
109,1.681626020780442e-05,0.9998341755973998
110,1.5818214335639067e-05,0.9998499938117354
111,1.4910487506247877e-05,0.9998649042992417
112,1.3403985425842719e-05,0.9998783082846675
113,1.2389454380434197e-05,0.9998906977390479
114,1.1082274576486437e-05,0.9999017800136244
115,1.0645458104055441e-05,0.9999124254717284
116,1.0101218622821373e-05,0.9999225266903512
117,9.435948754058186e-06,0.9999319626391052
118,8.435278312200817e-06,0.9999403979174174
119,7.373755942039612e-06,0.9999477716733595
120,5.906470271150193e-06,0.9999536781436306
121,5.478644761000504e-06,0.9999591567883915
122,4.900562221669799e-06,0.9999640573506132
123,4.7520828349930665e-06,0.9999688094334482
124,4.224879989998919e-06,0.9999730343134382
125,4.048611981381911e-06,0.9999770829254195
126,3.2879746866882198e-06,0.9999803709001063
127,2.9658416023954314e-06,0.9999833367417087
128,2.5470067319027363e-06,0.9999858837484406
129,1.9886904077942206e-06,0.9999878724388483
130,1.8425258483383076e-06,0.9999897149646967
131,1.6908383782365946e-06,0.9999914058030749
132,1.2647496019377758e-06,0.9999926705526768
133,1.1944574210555721e-06,0.9999938650100979
134,1.0752168571139706e-06,0.999994940226955
135,9.652119946701832e-07,0.9999959054389497
136,7.753687081224081e-07,0.9999966808076578
137,4.718490026344013e-07,0.9999971526566604
138,4.5757040628451554e-07,0.9999976102270667
139,4.4504584352316835e-07,0.9999980552729102
140,3.548761135219943e-07,0.9999984101490237
141,3.2370952058901997e-07,0.9999987338585443
142,3.085995035786453e-07,0.9999990424580479
143,2.730307998530723e-07,0.9999993154888478
144,2.3174397364794537e-07,0.9999995472328215
145,1.9937556534726975e-07,0.9999997466083869
146,1.0929350178312913e-07,0.9999998559018887
147,9.320745662891036e-08,0.9999999491093453
148,4.2333474295079086e-08,0.9999999914428196
149,5.129700989497039e-09,0.9999999965725206
150,2.4226175561640264e-09,0.9999999989951381
151,9.052138607406785e-10,0.999999999900352
152,9.964758048243158e-11,0.9999999999999997
