iter,n_remaining,max_vif,dropped
48,105,253.6559652256351,Std_Acc5_Std_Mem20_PeakRatio_Chroma_G_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0
49,104,239.94804615835028,Mean_Acc5_Mean_Mem20_PeakRatio_Chroma_F#_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0
50,103,197.80200900395144,Std_Acc5_Std_Mem20_PeakRatio_Chroma_D_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0
51,102,186.8308664303524,Std_Acc5_Mean_Mem20_PeakRatio_Chroma_C_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0
52,101,175.07235996250137,Mean_Acc5_Std_Mem20_ZeroCrossings_HopSize512_WinSize512_Sum_AudioCh0
53,100,174.59102257187516,Std_Acc5_Mean_Mem20_PeakRatio_Chroma_D#_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0
54,99,165.48645332663529,Std_Acc5_Mean_Mem20_PeakRatio_Chroma_A#_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0
55,98,152.79685148949952,Std_Acc5_Mean_Mem20_PeakRatio_Chroma_G#_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0
56,97,140.99467254888194,Spectral_Centroid_Overall_Standard_Deviation_1
57,96,138.33589002215473,Mean_Acc5_Mean_Mem20_PeakRatio_Chroma_D_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0
58,95,117.85273273188083,Spectral_Rolloff_Point_Overall_Average_1
59,94,103.48967924149547,Std_Acc5_Std_Mem20_PeakRatio_Chroma_A_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0
60,93,95.60181411952209,Area_Method_of_Moments_Overall_Standard_Deviation_6
61,92,91.50688199606167,Std_Acc5_Mean_Mem20_PeakRatio_Chroma_C#_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0
62,91,88.90301091652897,Zero_Crossings_Overall_Standard_Deviation_1
63,90,87.95741490582395,Spectral_Variability_Overall_Average_1
64,89,82.7880660310052,Mean_Acc5_Std_Mem20_PeakRatio_Chroma_B_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0
65,88,77.44450347996305,Std_Acc5_Mean_Mem20_PeakRatio_Chroma_G_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0
66,87,52.38650531841777,Std_Acc5_Mean_Mem20_PeakRatio_Chroma_B_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0
67,86,50.226429824935124,MFCC_Overall_Average_1
68,85,48.79234883029497,Mean_Acc5_Mean_Mem20_ZeroCrossings_HopSize512_WinSize512_Sum_AudioCh0
69,84,42.65581512952931,Area_Method_of_Moments_Overall_Average_3
70,83,38.618411821817254,LPC_Overall_Average_3
71,82,38.382844212233216,Std_Acc5_Std_Mem20_PeakRatio_Chroma_E_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0
72,81,35.600680708014316,Std_Acc5_Mean_Mem20_PeakRatio_Chroma_A_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0
73,80,32.83399274616707,Std_Acc5_Std_Mem20_Centroid_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0
74,79,31.832500953380766,Spectral_Flux_Overall_Average_1
75,78,30.860343782875685,Spectral_Rolloff_Point_Overall_Standard_Deviation_1
76,77,25.628146039594654,LPC_Overall_Average_2
77,76,24.560395962036605,Mean_Acc5_Mean_Mem20_Centroid_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0
78,75,24.073126726376966,Std_Acc5_Mean_Mem20_Flux_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0
79,74,21.205492229826344,Mean_Acc5_Mean_Mem20_PeakRatio_Average_Chroma_A_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0
80,73,21.12566277548425,LPC_Overall_Average_5
81,72,20.5922106645616,Root_Mean_Square_Overall_Standard_Deviation_1
82,71,19.160822106690613,LPC_Overall_Standard_Deviation_7
83,70,18.900697683381544,Mean_Acc5_Std_Mem20_Rolloff_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0
84,69,17.94967401634192,Mean_Acc5_Std_Mem20_Flux_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0
85,68,17.154956530932562,Mean_Acc5_Mean_Mem20_PeakRatio_Minimum_Chroma_A_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0
86,67,15.366505814157689,LPC_Overall_Average_9
87,66,14.114719939036206,Spectral_Flux_Overall_Standard_Deviation_1
88,65,13.32235455371906,MFCC_Overall_Average_2
89,64,12.830280387844441,LPC_Overall_Standard_Deviation_1
90,63,12.282264481538737,Mean_Acc5_Mean_Mem20_PeakRatio_Chroma_A#_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0
91,62,11.272748946903661,LPC_Overall_Average_4
92,61,9.655381715101466,
